Depth ice/snow [m],Age model [ka]
836.55,49.721
837.1,49.77
837.65,49.82
838.2,49.869
838.75,49.918
839.3,49.97
839.85,50.022
840.4,50.071
840.95,50.118
841.5,50.166
842.05,50.212
842.6,50.261
843.15,50.311
843.7,50.362
844.25,50.411
844.8,50.458
845.35,50.503
845.9,50.551
846.45,50.602
847.0,50.652
847.55,50.701
848.1,50.749
848.65,50.798
849.2,50.846
849.75,50.896
850.3,50.945
850.85,50.993
851.4,51.041
851.95,51.092
852.5,51.143
853.05,51.193
853.6,51.242
854.15,51.291
854.7,51.339
855.25,51.387
855.8,51.436
856.35,51.483
856.9,51.528
857.45,51.575
858.0,51.622
858.55,51.671
859.1,51.719
859.65,51.765
860.2,51.811
860.75,51.854
861.3,51.901
861.85,51.947
862.4,51.99
862.95,52.032
863.5,52.075
864.05,52.117
864.6,52.163
865.15,52.212
865.7,52.258
866.25,52.305
866.8,52.352
867.35,52.398
867.9,52.443
868.45,52.488
869.0,52.535
869.55,52.58
870.1,52.625
870.65,52.668
871.2,52.713
871.75,52.757
872.3,52.799
872.85,52.843
873.4,52.888
873.95,52.935
874.5,52.982
875.05,53.026
875.6,53.067
876.15,53.11
876.7,53.153
877.25,53.195
877.8,53.237
878.35,53.278
878.9,53.318
879.45,53.359
880.0,53.399
880.55,53.44
881.1,53.482
881.65,53.526
882.2,53.571
882.75,53.617
883.3,53.666
883.85,53.714
884.4,53.761
884.95,53.804
885.5,53.848
886.05,53.893
886.6,53.938
887.15,53.984
887.7,54.031
888.25,54.078
888.8,54.125
889.35,54.169
889.9,54.213
890.45,54.256
891.0,54.301
891.55,54.347
892.1,54.396
892.65,54.445
893.2,54.495
893.75,54.544
894.3,54.594
894.85,54.645
895.4,54.697
895.95,54.748
896.5,54.797
897.05,54.843
897.6,54.89
898.15,54.937
898.7,54.982
899.25,55.027
899.8,55.074
900.35,55.122
900.9,55.168
901.45,55.216
902.0,55.264
902.55,55.31
903.1,55.358
903.65,55.409
904.2,55.458
904.75,55.505
905.3,55.554
905.85,55.603
906.4,55.654
906.95,55.707
907.5,55.761
908.05,55.813
908.6,55.864
909.15,55.918
